"Frequency / Hz","Vm1:Measured voltage","Vm1:Measured voltage"
2325.2999999999997,19.725540592987606,-123.38820830055691
2426.3999999999996,18.72404482843945,-126.67967817103123
2527.5,17.709220977463321,-130.07876425902916
2628.5999999999999,17.067784313186067,-127.97383269792364
2729.6999999999998,16.745499439480362,-130.25901975409883
2830.7999999999997,16.601414539231648,-135.08938465906786
2931.8999999999996,16.209726490520584,-145.761940579731
3033,14.924228304090143,-151.50468358898479
3134.0999999999999,12.823250098023047,-153.60293285874781
3235.1999999999998,11.478624412690134,-144.84906235680029
3336.2999999999997,11.937061464471164,-141.10167744923822
3437.3999999999996,12.557073091696328,-147.76601273117973
3538.5,11.556561561128682,-156.94938839797283
3639.5999999999999,9.438908831451954,-158.99300765339848
3740.6999999999998,8.3218814386114257,-148.94013754459368
3841.7999999999997,8.7984478516134565,-144.84558393315891
